rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
HOMICIDIO DOLOSO,3,2021-06,2022-06,21,24,22143,ABASTO-REFORMA,2020-07,2021-07
HOMICIDIO DOLOSO,0,2021-06,2022-06,8,8,31805,ALPES,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,6,4,4441,ANGEL-ZONA ROSA,2020-07,2021-07
HOMICIDIO DOLOSO,-5,2021-06,2022-06,17,12,30506,ARAGON,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,4,2,22309,ARENAL,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,21,23,12999,ASTURIAS,2020-07,2021-07
HOMICIDIO DOLOSO,3,2021-06,2022-06,9,12,9110,BUENAVISTA,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,1,0,13501,CHAPULTEPEC,2020-07,2021-07
HOMICIDIO DOLOSO,-7,2021-06,2022-06,16,9,13900,CHURUBUSCO,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,11,9,23963,CLAVERIA,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,2,4,9495,COAPA,2020-07,2021-07
HOMICIDIO DOLOSO,-7,2021-06,2022-06,16,9,12135,CONGRESO,2020-07,2021-07
HOMICIDIO DOLOSO,-9,2021-06,2022-06,27,18,15715,CONSULADO,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,7,5,10129,CORREDOR-CENTRO,2020-07,2021-07
HOMICIDIO DOLOSO,5,2021-06,2022-06,0,5,14705,COYOACAN,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,3,1,24009,CUAJIMALPA,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,41,43,30453,CUAUTEPEC,2020-07,2021-07
HOMICIDIO DOLOSO,-5,2021-06,2022-06,9,4,20511,CUCHILLA,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,6,5,11851,CUITLAHUAC,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,9,7,18589,CULHUACAN,2020-07,2021-07
HOMICIDIO DOLOSO,3,2021-06,2022-06,0,3,7971,DEL VALLE,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,3,5,24310,DINAMO,2020-07,2021-07
HOMICIDIO DOLOSO,-5,2021-06,2022-06,7,2,20452,EL YAQUI,2020-07,2021-07
HOMICIDIO DOLOSO,-12,2021-06,2022-06,21,9,32788,ESTRELLA,2020-07,2021-07
HOMICIDIO DOLOSO,-24,2021-06,2022-06,45,21,38354,FUENTE,2020-07,2021-07
HOMICIDIO DOLOSO,0,2021-06,2022-06,7,7,19129,GRANJAS,2020-07,2021-07
HOMICIDIO DOLOSO,-10,2021-06,2022-06,18,8,21186,HORMIGA,2020-07,2021-07
HOMICIDIO DOLOSO,-9,2021-06,2022-06,20,11,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,12,14,16877,IZTACCIHUATL,2020-07,2021-07
HOMICIDIO DOLOSO,-4,2021-06,2022-06,18,14,30260,LA NORIA,2020-07,2021-07
HOMICIDIO DOLOSO,-4,2021-06,2022-06,13,9,14968,LA RAZA,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,15,17,16393,LINDAVISTA,2020-07,2021-07
HOMICIDIO DOLOSO,-5,2021-06,2022-06,10,5,12330,MERCED-BALBUENA,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,5,7,24021,MILPA ALTA,2020-07,2021-07
HOMICIDIO DOLOSO,-3,2021-06,2022-06,7,4,5681,MIXCALCO-HERALDO,2020-07,2021-07
HOMICIDIO DOLOSO,1,2021-06,2022-06,20,21,33579,MIXQUIC,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,16,14,12102,MOCTEZUMA,2020-07,2021-07
HOMICIDIO DOLOSO,-3,2021-06,2022-06,19,16,12649,MORELOS,2020-07,2021-07
HOMICIDIO DOLOSO,-4,2021-06,2022-06,5,1,7856,NAPOLES,2020-07,2021-07
